City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chokurdakh,70.6333,147.9167,-14.03,96,100,3.33,RU,1700009420
1,saint-philippe,-21.3585,55.7679,22.77,84,41,4.01,RE,1700009420
2,busselton,-33.65,115.3333,20.6,56,42,7.44,AU,1700009421
3,qaanaaq,77.484,-69.3632,-20.78,53,11,3.98,GL,1700009422
4,tuktoyaktuk,69.4541,-133.0374,-11.0,92,20,3.09,CA,1700009423
5,burnie,-41.0667,145.9167,18.03,54,53,3.25,AU,1700009423
6,albany,42.6001,-73.9662,4.65,72,100,1.34,US,1700009214
7,cape town,-33.9258,18.4232,21.32,64,0,1.54,ZA,1700009424
8,oume,35.7839,139.2431,11.57,65,100,1.54,JP,1700009425
9,georgetown,5.4112,100.3354,28.86,89,20,1.54,MY,1700009426
10,faanui,-16.4833,-151.75,26.8,80,100,7.18,PF,1700009426
11,airai,-8.9266,125.4092,26.04,40,4,0.7,TL,1700009427
12,shymkent,42.3,69.6,3.33,56,30,5.0,KZ,1700009428
13,yeppoon,-23.1333,150.7333,30.88,51,0,5.19,AU,1700009429
14,hasaki,35.7333,140.8333,15.22,74,9,7.05,JP,1700009430
15,mataura,-46.1927,168.8643,10.27,55,100,4.26,NZ,1700009430
16,ushuaia,-54.8,-68.3,3.81,75,75,11.18,AR,1700009431
17,new norfolk,-42.7826,147.0587,17.62,26,20,1.97,AU,1700009432
18,puerto ayora,-0.7393,-90.3518,24.19,97,17,0.89,EC,1700009433
19,milkovo,54.7167,158.6167,-8.51,87,100,0.51,RU,1700009435
20,bengkulu,-3.8004,102.2655,25.18,90,95,0.57,ID,1700009436
21,punta arenas,-53.15,-70.9167,5.06,65,0,7.72,CL,1700009436
22,vestmannaeyjar,63.4427,-20.2734,6.53,79,64,13.32,IS,1700009437
23,ponta do sol,32.6667,-17.1,21.35,70,0,1.54,PT,1700009438
24,hithadhoo,-0.6,73.0833,27.44,79,100,5.39,MV,1700009438
25,la ronge,55.1001,-105.2842,-1.86,80,20,3.6,CA,1700009439
26,castro,-24.7911,-50.0119,19.19,96,77,2.47,BR,1700009439
27,souillac,-20.5167,57.5167,23.21,100,40,1.54,MU,1700009441
28,hofn,64.2539,-15.2082,3.09,96,100,5.67,IS,1700009441
29,malanje,-9.5402,16.341,16.67,97,100,0.54,AO,1700009442
30,vaini,-21.2,-175.2,25.09,100,100,7.72,TO,1700009442
31,zhuanghe,39.7008,122.9911,6.23,68,6,0.97,CN,1700009443
32,nchelenge,-9.3451,28.734,21.07,87,100,1.89,ZM,1700009444
33,san vicente,-26.6167,-54.1333,16.59,99,100,1.18,AR,1700009445
34,barrow,71.2906,-156.7887,-3.99,68,100,12.35,US,1700008941
35,shebunino,46.4339,141.8603,1.94,55,66,2.77,RU,1700009446
36,dikson,73.5069,80.5464,-13.61,95,100,9.41,RU,1700009446
37,carmen,18.6333,-91.8333,25.9,86,7,5.94,MX,1700009378
38,howard springs,-12.497,131.047,31.04,69,25,1.82,AU,1700009447
39,bluff,-46.6,168.3333,10.45,71,98,10.51,NZ,1700009448
40,hobart,-42.8794,147.3294,17.81,50,40,4.12,AU,1700009227
41,sao joao da barra,-21.6403,-41.0511,26.05,84,8,9.42,BR,1700009449
42,yamada,39.4667,141.95,10.24,60,100,0.89,JP,1700009449
43,saint-denis,48.9167,2.3333,11.53,86,20,4.63,FR,1700009450
44,avarua,-21.2078,-159.775,23.03,68,100,4.63,CK,1700009450
45,ribeira grande,38.5167,-28.7,20.26,92,100,10.4,PT,1700009451
46,tamiahua,21.2667,-97.45,20.4,84,100,3.67,MX,1700009452
47,rognan,67.0953,15.3878,-4.41,82,4,3.04,NO,1700009452
48,touros,-5.1989,-35.4608,26.56,81,100,6.22,BR,1700009453
49,severo-kurilsk,50.6789,156.125,2.0,58,95,9.65,RU,1700009454
50,kapaa,22.0752,-159.319,29.99,73,75,10.29,US,1700009455
51,iqaluit,63.7506,-68.5145,-7.15,63,75,3.09,CA,1700009455
52,vostok,46.4856,135.8833,-4.58,70,75,1.18,RU,1700009456
53,bethel,41.3712,-73.414,7.05,66,75,1.54,US,1700009456
54,rikitea,-23.1203,-134.9692,24.33,86,100,8.36,PF,1700009457
55,klaksvik,62.2266,-6.589,5.51,69,100,8.35,FO,1700009458
56,lavrentiya,65.5833,-171.0,-7.24,87,100,9.52,RU,1700009458
57,mahibadhoo,3.7833,72.9667,26.98,78,20,1.16,MV,1700009459
58,mar del plata,-38.0023,-57.5575,13.3,78,20,5.14,AR,1700009459
59,katsuura,35.1333,140.3,14.63,79,37,5.59,JP,1700009460
60,bredasdorp,-34.5322,20.0403,14.33,91,12,2.46,ZA,1700009461
61,lebu,-37.6167,-73.65,9.06,67,12,5.96,CL,1700009461
62,ancud,-41.8697,-73.8203,7.96,76,100,5.04,CL,1700009462
63,brae,60.3964,-1.353,7.32,72,99,5.17,GB,1700009463
64,ilulissat,69.2167,-51.1,-5.99,68,75,2.06,GL,1700009464
65,coihaique,-45.5752,-72.0662,5.34,81,100,2.06,CL,1700009276
66,port lincoln,-34.7333,135.8667,17.63,64,8,4.98,AU,1700009465
67,mahon,39.8885,4.2658,17.31,82,0,3.09,ES,1700009466
68,alice springs,-23.7,133.8833,36.75,14,17,4.12,AU,1700009467
69,prince george,53.9166,-122.753,1.81,89,100,1.54,CA,1700009467
70,upernavik,72.7868,-56.1549,-18.36,62,0,3.33,GL,1700009468
71,hualmay,-11.0964,-77.6139,19.61,82,99,4.65,PE,1700009469
72,nikolskoye,59.7035,30.7861,1.08,98,97,1.27,RU,1700009470
73,alyangula,-13.8483,136.4192,28.22,64,9,3.3,AU,1700009471
74,bubaque,11.2833,-15.8333,28.5,71,61,5.37,GW,1700009471
75,bilma,18.6853,12.9164,21.85,17,0,3.08,NE,1700009472
76,sao filipe,14.8961,-24.4956,26.47,66,100,3.05,CV,1700009473
77,berlevag,70.8578,29.0864,1.97,75,100,12.35,NO,1700009473
78,rio gallegos,-51.6226,-69.2181,6.03,56,40,10.29,AR,1700009474
79,shizunai,42.3339,142.3669,5.58,53,1,1.97,JP,1700009475
80,port loko,8.7667,-12.7833,27.82,94,0,0.49,SL,1700009475
81,lompoc,34.6391,-120.4579,18.94,64,0,3.6,US,1700009367
82,three hills,51.7001,-113.2686,1.66,47,100,3.6,CA,1700009476
83,rawson,-43.3002,-65.1023,14.75,28,83,5.06,AR,1700009477
84,yellowknife,62.456,-114.3525,-7.55,99,100,4.47,CA,1700009478
85,goundam,16.4145,-3.6708,25.12,13,0,3.16,ML,1700009478
86,opuwo,-18.0607,13.84,24.88,34,99,0.91,NA,1700009479
87,port alfred,-33.5906,26.891,15.1,83,14,1.34,ZA,1700009480
88,arraial do cabo,-22.9661,-42.0278,25.98,89,75,4.63,BR,1700009429
89,cheney,47.4874,-117.5758,2.92,74,100,2.06,US,1700009481
90,bambous virieux,-20.3428,57.7575,23.14,100,40,1.54,MU,1700009482
91,boa vista,2.8197,-60.6733,30.99,51,20,3.09,BR,1700009482
92,thompson,55.7435,-97.8558,0.09,93,100,7.2,CA,1700009483
93,provideniya,64.3833,-173.3,-4.8,86,100,7.0,RU,1700009483
94,henties bay,-22.116,14.2845,17.1,85,59,0.73,NA,1700009484
95,port-gentil,-0.7193,8.7815,26.81,77,100,5.38,GA,1700009485
96,harper,4.375,-7.7169,25.65,88,63,2.47,LR,1700009486
97,salta,-24.7859,-65.4117,21.33,66,40,4.63,AR,1700009245
98,butaritari,3.0707,172.7902,28.26,76,100,6.37,KI,1700009487
99,sakaiminato,35.55,133.2333,11.96,87,40,2.57,JP,1700009487
